Mes,Usos,Usos previos,Diferencia,Variación (%)
2015-01,18879,,,
2015-02,17312,,,
2015-03,21633,,,
2015-04,20253,,,
2015-05,23546,,,
2015-06,20612,,,
2015-07,9062,,,
2015-08,7968,,,
2015-09,20299,,,
2015-10,24688,,,
2015-11,27031,,,
2015-12,21212,,,
2016-01,21156,18879.0,2277.0,12.061020181153664
2016-02,24485,17312.0,7173.0,41.43368761552681
2016-03,21669,21633.0,36.0,0.1664124254611011
2016-04,24912,20253.0,4659.0,23.003999407495186
2016-05,27334,23546.0,3788.0,16.087658200968317
2016-06,23522,20612.0,2910.0,14.117989520667573
2016-07,16881,9062.0,7819.0,86.28338115206357
2016-08,12205,7968.0,4237.0,53.17520080321285
2016-09,23508,20299.0,3209.0,15.80866052514902
2016-10,27639,24688.0,2951.0,11.953175631885935
2016-11,26487,27031.0,-544.0,-2.0125041618882027
2016-12,18067,21212.0,-3145.0,-14.826513294361682
2017-01,18552,21156.0,-2604.0,-12.308564946114577
2017-02,22637,24485.0,-1848.0,-7.547478047784358
2017-03,26942,21669.0,5273.0,24.334302459735106
2017-04,20023,24912.0,-4889.0,-19.625080282594734
2017-05,29739,27334.0,2405.0,8.798565888636862
2017-06,25039,23522.0,1517.0,6.449281523679959
2017-07,18114,16881.0,1233.0,7.304069664119424
2017-08,13054,12205.0,849.0,6.956165505940189
2017-09,25783,23508.0,2275.0,9.677556576484601
2017-10,30844,27639.0,3205.0,11.59593328268027
2017-11,29654,26487.0,3167.0,11.956809000641824
2017-12,20326,18067.0,2259.0,12.503459345768528
2018-01,23114,18552.0,4562.0,24.590340664079342
2018-02,21786,22637.0,-851.0,-3.759332066970005
2018-03,23928,26942.0,-3014.0,-11.18699428401752
2018-04,23440,20023.0,3417.0,17.065374818958198
2018-05,29747,29739.0,8.0,0.02690070278086015
2018-06,24806,25039.0,-233.0,-0.9305483445824514
2018-07,19021,18114.0,907.0,5.007176769349674
2018-08,13859,13054.0,805.0,6.166692201624023
2018-09,25290,25783.0,-493.0,-1.9121126323546522
2018-10,32747,30844.0,1903.0,6.1697574893009985
2018-11,28647,29654.0,-1007.0,-3.3958319282390237
2018-12,23622,20326.0,3296.0,16.21568434517367
2019-01,25641,23114.0,2527.0,10.932768019382193
2019-02,26459,21786.0,4673.0,21.449554759937577
2019-03,29436,23928.0,5508.0,23.019057171514543
2019-04,25096,23440.0,1656.0,7.0648464163822515
2019-05,33195,29747.0,3448.0,11.59108481527549
2019-06,26941,24806.0,2135.0,8.606788680158026
2019-07,20228,19021.0,1207.0,6.345618001156616
2019-08,13549,13859.0,-310.0,-2.2368136229165163
2019-09,24623,25290.0,-667.0,-2.637406089363385
2019-10,34318,32747.0,1571.0,4.797386020093444
2019-11,29468,28647.0,821.0,2.8659196425454674
2019-12,22244,23622.0,-1378.0,-5.833545000423334
2020-01,23536,25641.0,-2105.0,-8.20950820950821
2020-02,27010,26459.0,551.0,2.0824672134245437
2020-03,13692,29436.0,-15744.0,-53.4855279249898
2020-04,2099,25096.0,-22997.0,-91.6361173095314
2020-05,7721,33195.0,-25474.0,-76.74047296279561
2020-06,12591,26941.0,-14350.0,-53.26454103411158
2020-07,12788,20228.0,-7440.0,-36.78070001977457
2020-08,9316,13549.0,-4233.0,-31.242158092848182
2020-09,17165,24623.0,-7458.0,-30.288754416602366
2020-10,19800,34318.0,-14518.0,-42.30433008916604
2020-11,18543,29468.0,-10925.0,-37.074114293470885
2020-12,14838,22244.0,-7406.0,-33.294371515914406
2021-01,10549,23536.0,-12987.0,-55.1792997960571
2021-02,13063,27010.0,-13947.0,-51.63643095149945
2021-03,16200,13692.0,2508.0,18.31726555652936
2021-04,12889,2099.0,10790.0,514.0543115769414
2021-05,16582,7721.0,8861.0,114.76492682295039
2021-06,14875,12591.0,2284.0,18.13994122786117
2021-07,10979,12788.0,-1809.0,-14.146074444791992
2021-08,7165,9316.0,-2151.0,-23.089308716187205
2021-09,15735,17165.0,-1430.0,-8.330905913195457
2021-10,17800,19800.0,-2000.0,-10.1010101010101
2021-11,16736,18543.0,-1807.0,-9.744917219435905
2021-12,13669,14838.0,-1169.0,-7.878420272273891
2022-01,12367,10549.0,1818.0,17.233861029481467
2022-02,16561,13063.0,3498.0,26.77792237617699
2022-03,16317,16200.0,117.0,0.7222222222222222
2022-04,12807,12889.0,-82.0,-0.6362014120567926
2022-05,19159,16582.0,2577.0,15.540948015920877
2022-06,17303,14875.0,2428.0,16.322689075630255
2022-07,13171,10979.0,2192.0,19.965388468895163
2022-08,10798,7165.0,3633.0,50.704815073272854
2022-09,19764,15735.0,4029.0,25.605338417540512
2022-10,25457,17800.0,7657.0,43.01685393258427
2022-11,24942,16736.0,8206.0,49.032026768642446
2022-12,18767,13669.0,5098.0,37.29607140244349
2023-01,18790,12367.0,6423.0,51.93660548233201
2023-02,18590,16561.0,2029.0,12.251675623452691
2023-03,23871,16317.0,7554.0,46.29527486670344
2023-04,18618,12807.0,5811.0,45.373623799484655
2023-05,20480,19159.0,1321.0,6.8949318857977975
2023-06,18238,17303.0,935.0,5.40368722186904
2023-07,12729,13171.0,-442.0,-3.355857565864399
2023-08,10068,10798.0,-730.0,-6.7605112057788475
2023-09,17569,19764.0,-2195.0,-11.106051406597855
2023-10,22558,25457.0,-2899.0,-11.38783045920572
2023-11,21801,24942.0,-3141.0,-12.593216261727209
2023-12,15380,18767.0,-3387.0,-18.047636809292907
2024-01,17247,18790.0,-1543.0,-8.211814795103779
2024-02,19299,18590.0,709.0,3.813878429263045
2024-03,17762,23871.0,-6109.0,-25.591722173348412
2024-04,18420,18618.0,-198.0,-1.0634869481147275
2024-05,21690,20480.0,1210.0,5.908203125
2024-06,16280,18238.0,-1958.0,-10.735826296743065
2024-07,13238,12729.0,509.0,3.9987430277319507
2024-08,9119,10068.0,-949.0,-9.4259038537942
2024-09,16421,17569.0,-1148.0,-6.534236439182652
2024-10,20675,22558.0,-1883.0,-8.347371220852914
2024-11,19916,21801.0,-1885.0,-8.6463923673226
2024-12,15598,15380.0,218.0,1.4174252275682704
2025-01,19807,17247.0,2560.0,14.843161129471794
2025-02,26636,19299.0,7337.0,38.01751386082181
2025-03,26787,17762.0,9025.0,50.810719513568294
2025-04,27959,18420.0,9539.0,51.786102062975026
2025-05,33364,21690.0,11674.0,53.822037805440296
