tmed_grado,dias,porcentaje
4,1,0.026288117770767613
6,5,0.13144058885383808
7,28,0.7360672975814931
8,51,1.3406940063091484
9,75,1.971608832807571
10,135,3.548895899053628
11,153,4.022082018927445
12,259,6.808622502628812
13,234,6.151419558359621
14,271,7.124079915878023
15,195,5.126182965299685
16,208,5.467928496319663
17,187,4.915878023133543
18,197,5.1787592008412195
19,148,3.890641430073607
20,180,4.73186119873817
21,164,4.311251314405888
22,196,5.152471083070452
23,133,3.496319663512092
24,183,4.8107255520504735
25,160,4.206098843322819
26,212,5.573080967402734
27,160,4.206098843322819
28,145,3.8117770767613037
29,80,2.1030494216614093
30,32,0.8412197686645636
31,6,0.15772870662460567
32,3,0.07886435331230283
33,2,0.052576235541535225
34,1,0.026288117770767613
