tmed_grado,usos_promedio,usos_mediana,dias,dias_con_uso,dias_sin_uso,usos_totales
4,510.0,510.0,1,1,0,510
6,692.2,772.0,5,5,0,3461
7,469.75,454.5,28,28,0,13153
8,558.8039215686274,557.0,51,51,0,28499
9,645.28,700.0,75,75,0,48396
10,597.4962962962964,566.0,135,135,0,80662
11,661.6732026143791,672.0,153,153,0,101236
12,664.8880308880309,656.0,259,259,0,172206
13,692.5598290598291,697.0,234,234,0,162059
14,662.6863468634687,648.0,271,271,0,179588
15,734.8256410256411,770.0,195,195,0,143291
16,745.2067307692307,782.5,208,208,0,155003
17,738.5347593582887,775.0,187,187,0,138106
18,776.2385786802031,788.0,197,197,0,152919
19,793.9864864864865,839.0,148,148,0,117510
20,752.3611111111111,776.0,180,180,0,135425
21,759.890243902439,766.5,164,164,0,124622
22,776.3520408163265,803.0,196,196,0,152165
23,684.203007518797,683.0,133,133,0,90999
24,644.1912568306011,625.0,183,183,0,117887
25,541.125,478.5,160,160,0,86580
26,510.9009433962264,508.5,212,209,3,108311
27,478.5625,448.5,160,160,0,76570
28,390.31724137931036,361.0,145,138,7,56596
29,394.825,421.5,80,77,3,31586
30,398.1875,389.5,32,32,0,12742
31,300.5,321.5,6,5,1,1803
32,317.0,418.0,3,3,0,951
33,416.5,416.5,2,2,0,833
34,267.0,267.0,1,1,0,267
